"day_time","yellow","green","fhv"
"1_0",13240,967,1786
"1_1",15061,964,1702
"1_2",13540,814,1451
"1_3",9830,567,1423
"1_4",6218,416,1351
"1_5",2749,234,1361
"1_6",2211,188,1548
"1_7",2365,217,1765
"1_8",2314,181,1706
"1_9",3218,222,1685
"1_10",4539,274,1863
"1_11",6302,371,1951
"1_12",8057,388,2038
"1_13",8689,496,2144
"1_14",8487,497,2329
"1_15",8630,651,2314
"1_16",8393,539,2117
"1_17",8399,590,2091
"1_18",8324,528,1952
"1_19",7381,518,1815
"1_20",6206,440,1659
"1_21",6047,342,1544
"1_22",5297,314,1412
"1_23",3940,252,1222
"2_0",2312,145,960
"2_1",1210,85,616
"2_2",773,52,525
"2_3",569,57,598
"2_4",758,115,962
"2_5",1579,167,1581
"2_6",3660,328,2402
"2_7",5899,647,3917
"2_8",7507,806,4849
"2_9",8023,925,4784
"2_10",8233,985,4472
"2_11",8763,979,3996
"2_12",10008,938,4108
"2_13",10091,999,4061
"2_14",10682,994,3882
"2_15",10989,1080,3485
"2_16",10311,1088,3200
"2_17",10927,1078,2732
"2_18",11303,939,2417
"2_19",9726,775,2119
"2_20",8325,570,2036
"2_21",8413,522,1838
"2_22",7031,442,1625
"2_23",5049,307,1388
"3_0",3398,212,1033
"3_1",2173,138,699
"3_2",1255,95,528
"3_3",991,81,569
"3_4",997,144,966
"3_5",1585,199,1493
"3_6",3912,323,2453
"3_7",6338,655,4077
"3_8",8712,888,5141
"3_9",9443,1018,5242
"3_10",8944,953,4968
"3_11",9009,929,4381
"3_12",10055,842,4332
"3_13",10176,869,4175
"3_14",10974,1003,3981
"3_15",10733,1025,3530
"3_16",10546,1103,2988
"3_17",11543,1072,2744
"3_18",12171,978,2358
"3_19",11925,929,2257
"3_20",9611,773,2242
"3_21",10510,715,2046
"3_22",10197,661,1952
"3_23",8279,457,1700
"4_0",6655,393,1423
"4_1",5343,297,988
"4_2",3863,205,800
"4_3",2845,146,830
"4_4",1666,154,1135
"4_5",1165,103,1343
"4_6",1688,131,1575
"4_7",2847,266,2123
"4_8",4144,447,2798
"4_9",6460,656,3139
"4_10",7896,724,3134
"4_11",8951,734,2757
"4_12",9828,748,2779
"4_13",10306,790,2700
"4_14",9731,862,2675
"4_15",10630,907,2546
"4_16",10795,876,2429
"4_17",11118,898,2465
"4_18",11202,883,2375
"4_19",11548,900,2306
"4_20",10252,862,2193
"4_21",11942,885,2098
"4_22",11231,787,2144
"4_23",10646,641,1876
"5_0",8392,458,1655
"5_1",6837,375,1307
"5_2",5500,257,1050
"5_3",3736,243,912
"5_4",2293,204,1112
"5_5",1195,105,1107
"5_6",1596,142,1459
"5_7",2342,275,1803
"5_8",3997,477,2137
"5_9",6145,652,2746
"5_10",8448,813,3212
"5_11",9295,772,2835
"5_12",10474,875,2646
"5_13",10541,1019,2601
"5_14",10573,941,2673
"5_15",10615,887,2515
"5_16",10901,723,2353
"5_17",10665,678,2320
"5_18",9822,678,2167
"5_19",8386,651,1941
"5_20",7373,519,1847
"5_21",6512,431,1734
"5_22",4889,317,1586
"5_23",3872,240,1438
"6_0",2261,167,1077
"6_1",1146,104,707
"6_2",817,68,558
"6_3",530,93,638
"6_4",884,156,1111
"6_5",2069,212,1814
"6_6",5021,390,2773
"6_7",9627,758,4488
"6_8",11588,1171,5425
"6_9",10481,1263,5554
"6_10",9096,1211,5003
"6_11",8925,991,4612
"6_12",9525,1000,4636
"6_13",9710,1033,4452
"6_14",10624,963,4425
"6_15",11087,1018,3903
"6_16",10698,1046,3411
"6_17",12040,1115,3068
"6_18",12893,954,2615
"6_19",11417,840,2144
"6_20",9923,596,2304
"6_21",8720,518,1955
"6_22",6112,387,1732
"6_23",4321,269,1402
"7_0",2651,178,1072
"7_1",1401,95,665
"7_2",858,57,473
"7_3",611,50,495
"7_4",903,142,959
"7_5",2069,238,1664
"7_6",5022,433,2696
"7_7",9806,698,4535
"7_8",11939,1040,5436
"7_9",10810,1143,5692
"7_10",9887,1198,4983
"7_11",9666,1030,4509
"7_12",10389,1060,4625
"7_13",10842,928,4575
"7_14",11843,1000,4484
"7_15",12405,1171,3991
"7_16",11231,1166,3502
"7_17",13213,1136,3006
"7_18",15196,1147,2718
"7_19",13197,966,2244
"7_20",11963,710,2291
"7_21",11372,621,2174
"7_22",8794,489,1813
"7_23",5452,331,1398
"8_0",3246,172,1050
"8_1",1721,125,648
"8_2",1098,72,495
"8_3",763,64,561
"8_4",920,121,1005
"8_5",1899,189,1671
"8_6",5157,376,2713
"8_7",10125,728,4624
"8_8",12370,1061,5830
"8_9",11652,1206,5662
"8_10",10125,1115,5249
"8_11",10319,1027,4650
"8_12",11267,1018,4866
"8_13",11175,946,4515
"8_14",12203,1010,4478
"8_15",13019,1214,3915
"8_16",12006,1262,3518
"8_17",14212,1245,3248
"8_18",15763,1128,2841
"8_19",14513,1042,2383
"8_20",13144,800,2536
"8_21",13344,705,2378
"8_22",10159,538,2007
"8_23",6900,422,1567
"9_0",4046,262,1250
"9_1",2023,134,720
"9_2",1155,70,523
"9_3",899,85,540
"9_4",959,110,999
"9_5",1979,225,1713
"9_6",5250,423,2784
"9_7",11039,772,4706
"9_8",13838,1223,5807
"9_9",12486,1209,5632
"9_10",11341,1086,5388
"9_11",11151,1104,4801
"9_12",11557,1030,4838
"9_13",12022,982,4680
"9_14",12901,1088,4559
"9_15",13205,1254,4140
"9_16",12501,1255,3627
"9_17",14310,1296,3338
"9_18",16439,1142,2909
"9_19",14760,1095,2380
"9_20",13835,841,2675
"9_21",14295,764,2416
"9_22",11817,598,2050
"9_23",7876,443,1648
"10_0",5259,275,1170
"10_1",3004,159,748
"10_2",1864,108,568
"10_3",1298,82,565
"10_4",1285,144,1025
"10_5",2054,207,1681
"10_6",4970,399,2693
"10_7",10181,720,4600
"10_8",12326,1031,5794
"10_9",11379,1124,5704
"10_10",10391,1132,5222
"10_11",10838,997,4843
"10_12",11311,928,4870
"10_13",11305,889,4575
"10_14",12179,1059,4347
"10_15",12858,1173,3822
"10_16",12317,1192,3404
"10_17",14192,1245,2966
"10_18",15766,1180,2684
"10_19",14470,1044,2519
"10_20",12345,926,2494
"10_21",12331,824,2291
"10_22",12747,784,2202
"10_23",11531,685,1909
"11_0",9913,478,1537
"11_1",7733,374,1126
"11_2",6016,284,871
"11_3",4121,236,844
"11_4",2373,185,1196
"11_5",1385,147,1442
"11_6",2052,173,1723
"11_7",3469,308,2367
"11_8",5422,434,3052
"11_9",7817,675,3552
"11_10",9229,750,3309
"11_11",10486,808,3060
"11_12",11589,865,2948
"11_13",11789,914,2861
"11_14",12018,812,2850
"11_15",13293,1065,2747
"11_16",12655,1046,2559
"11_17",13073,1049,2653
"11_18",13651,879,2585
"11_19",13068,892,2456
"11_20",10675,747,2367
"11_21",10823,719,2212
"11_22",11964,686,2228
"11_23",12889,649,2047
"12_0",10807,517,1824
"12_1",9748,424,1471
"12_2",7290,341,1166
"12_3",4953,268,981
"12_4",2781,218,1139
"12_5",1302,127,1226
"12_6",1657,141,1515
